No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,AAPL,Apple Inc.,"3,468.22B",228.11,0.26%,385.60B
2,MSFT,Microsoft Corporation,"3,188.18B",428.92,-0.55%,245.12B
3,NVDA,NVIDIA Corporation,"2,948.63B",120.21,-3.09%,96.31B
4,GOOGL,Alphabet Inc.,"2,020.87B",164.17,0.88%,328.28B
5,GOOG,Alphabet Inc.,"2,009.35B",165.52,1.03%,328.28B
6,AMZN,"Amazon.com, Inc.","1,977.57B",188.42,-1.43%,604.33B
7,META,"Meta Platforms, Inc.","1,438.83B",568.75,0.16%,149.78B
8,TSLA,"Tesla, Inc.",829.36B,259.61,2.12%,95.32B
9,AVGO,Broadcom Inc.,808.85B,173.18,-2.76%,46.82B
10,COST,Costco Wholesale Corporation,392.87B,886.59,-1.65%,254.45B
11,ASML,ASML Holding N.V.,332.30B,843.35,-1.07%,27.26B
12,NFLX,"Netflix, Inc.",304.28B,709.01,-0.34%,36.30B
13,AMD,"Advanced Micro Devices, Inc.",266.73B,164.81,-1.60%,23.28B
14,AZN,AstraZeneca PLC,242.10B,77.96,-0.28%,49.13B
15,TMUS,"T-Mobile US, Inc.",239.34B,205.13,0.92%,79.10B
16,PEP,"PepsiCo, Inc.",233.51B,170,0.18%,92.05B
17,LIN,Linde plc,229.47B,480.56,-0.23%,32.82B
18,ADBE,Adobe Inc.,226.87B,515.39,-,20.95B
19,CSCO,"Cisco Systems, Inc.",211.86B,53.09,0.45%,53.80B
20,TXN,Texas Instruments Incorporated,191.71B,209.97,0.34%,16.09B
21,QCOM,QUALCOMM Incorporated,190.36B,170.88,-1.03%,37.35B
22,PDD,PDD Holdings Inc.,189.05B,136.13,5.20%,47.01B
23,AMGN,Amgen Inc.,174.40B,324.56,1.71%,30.93B
24,INTU,Intuit Inc.,174.21B,621.53,-2.40%,16.29B
25,ISRG,"Intuitive Surgical, Inc.",170.54B,479.91,-1.32%,7.57B
26,AMAT,"Applied Materials, Inc.",169.52B,205.63,-1.90%,26.85B
27,CMCSA,Comcast Corporation,161.66B,41.75,1.77%,121.11B
28,ARM,Arm Holdings plc,152.80B,145.8,-2.25%,3.50B
29,SNY,Sanofi,144.11B,57.53,0.93%,50.44B
30,BKNG,Booking Holdings Inc.,142.58B,"4,253.10",-0.37%,22.40B
31,HON,Honeywell International Inc.,135.27B,208.22,0.57%,37.33B
32,MU,"Micron Technology, Inc.",120.43B,108.61,-1.16%,25.11B
33,VRTX,Vertex Pharmaceuticals Incorporated,119.29B,462.17,-0.21%,10.34B
34,ADI,"Analog Devices, Inc.",115.43B,232.5,0.02%,9.70B
35,REGN,"Regeneron Pharmaceuticals, Inc.",114.10B,"1,057.15",1.65%,13.49B
36,ADP,"Automatic Data Processing, Inc.",111.65B,273.78,-0.24%,19.20B
37,SBUX,Starbucks Corporation,110.77B,97.75,0.29%,36.48B
38,PANW,"Palo Alto Networks, Inc.",109.11B,335.09,-1.07%,8.03B
39,LRCX,Lam Research Corporation,107.50B,829.41,-2.13%,14.91B
40,KLAC,KLA Corporation,105.23B,785.41,-2.38%,9.81B
41,MELI,"MercadoLibre, Inc.",104.75B,"2,066.13",-1.62%,17.11B
42,GILD,"Gilead Sciences, Inc.",104.50B,83.94,1.08%,27.81B
43,INTC,Intel Corporation,102.40B,23.95,0.12%,55.12B
44,MDLZ,"Mondelez International, Inc.",99.34B,74.37,0.07%,35.98B
45,EQIX,"Equinix, Inc.",83.71B,881.68,0.31%,8.02B
46,CTAS,Cintas Corporation,82.55B,203.88,-1.51%,9.76B
47,ABNB,"Airbnb, Inc.",81.61B,129.04,-0.16%,10.51B
48,CEG,Constellation Energy Corporation,80.83B,258.5,0.67%,23.54B
49,PYPL,"PayPal Holdings, Inc.",79.91B,78.16,-2.39%,31.03B
50,CME,CME Group Inc.,78.89B,219.09,0.28%,5.79B
51,SNPS,"Synopsys, Inc.",78.60B,511.69,-0.72%,6.48B
52,CDNS,"Cadence Design Systems, Inc.",74.73B,272.91,-0.48%,4.16B
53,MAR,"Marriott International, Inc.",71.22B,252.98,0.91%,6.47B
54,CRWD,"CrowdStrike Holdings, Inc.",69.77B,284.64,1.12%,3.52B
55,CSX,CSX Corporation,66.94B,34.53,1.86%,14.63B
56,ORLY,"O'Reilly Automotive, Inc.",66.43B,"1,145.26",-1.24%,16.28B
57,WDAY,"Workday, Inc.",64.29B,243.61,-0.74%,7.86B
58,NXPI,NXP Semiconductors N.V.,62.25B,244.37,0.88%,13.11B
59,MRVL,"Marvell Technology, Inc.",61.60B,71.11,-3.19%,5.28B
60,NTES,"NetEase, Inc.",60.46B,93.81,2.94%,14.69B
61,ROP,"Roper Technologies, Inc.",59.38B,553.96,0.26%,6.57B
62,FTNT,"Fortinet, Inc.",59.28B,77.5,0.37%,5.54B
63,DASH,"DoorDash, Inc.",58.73B,142.71,-0.22%,9.61B
64,ADSK,"Autodesk, Inc.",58.43B,271.71,-0.60%,5.81B
65,JD,"JD.com, Inc.",58.40B,39.89,5.00%,152.09B
66,AEP,"American Electric Power Company, Inc.",54.19B,101.84,1.09%,19.52B
67,TTD,"The Trade Desk, Inc.",53.84B,109.53,0.16%,2.17B
68,PCAR,PACCAR Inc,51.92B,99.05,1.27%,35.29B
69,MNST,Monster Beverage Corporation,51.40B,52.47,0.88%,7.39B
70,KDP,Keurig Dr Pepper Inc.,50.79B,37.46,0.42%,15.06B
71,ROST,"Ross Stores, Inc.",50.44B,152.03,-0.52%,21.09B
72,FANG,"Diamondback Energy, Inc.",50.37B,170.89,1.20%,8.85B
73,CPRT,"Copart, Inc.",50.06B,52.02,-0.17%,4.24B
74,PAYX,"Paychex, Inc.",47.86B,133.05,0.05%,5.28B
75,COIN,"Coinbase Global, Inc.",47.44B,190.92,6.11%,4.50B
76,CHTR,"Charter Communications, Inc.",46.74B,327.43,3.29%,54.66B
77,MPWR,"Monolithic Power Systems, Inc.",45.39B,931.09,-1.41%,1.89B
