No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
1,RY,Royal Bank of Canada,235.79B,167.78,0.65%,56.51B
2,TD,The Toronto-Dominion Bank,148.29B,85.33,0.60%,52.31B
3,SHOP,Shopify Inc.,137.73B,108.84,1.82%,10.63B
4,ENB,Enbridge Inc.,120.68B,54.94,-0.87%,43.52B
5,BN,Brookfield Corporation,111.18B,71.98,2.14%,133.67B
6,CP,Canadian Pacific Kansas City Limited,107.76B,115.46,0.59%,14.24B
7,TRI,Thomson Reuters Corporation,104.65B,230.99,-0.73%,9.63B
8,CNR,Canadian National Railway Company,99.06B,157.3,0.78%,17.04B
9,CNQ,Canadian Natural Resources Limited,93.11B,43.97,-3.28%,36.74B
10,CSU,Constellation Software Inc.,92.65B,"4,434.52",1.43%,12.69B
11,BNS,The Bank of Nova Scotia,89.95B,73.82,1.54%,29.60B
12,BMO,Bank of Montreal,88.00B,122.26,1.34%,31.41B
13,NGT,Newmont Corporation,85.27B,74.85,0.40%,20.36B
14,CM,Canadian Imperial Bank of Commerce,79.21B,83.86,0.29%,22.70B
15,ATD,Alimentation Couche-Tard Inc.,71.03B,75.12,0.25%,98.76B
16,MFC,Manulife Financial Corporation,69.54B,39.92,1.60%,28.48B
17,WCN,"Waste Connections, Inc.",62.71B,240.64,-1.10%,11.53B
18,SU,Suncor Energy Inc.,62.48B,49.18,-2.56%,50.73B
19,TRP,TC Energy Corporation,59.92B,64.55,0.14%,16.50B
20,AEM,Agnico Eagle Mines Limited,56.70B,113.31,-0.32%,10.00B
21,L,Loblaw Companies Limited,54.02B,178.14,0.23%,60.32B
22,IMO,Imperial Oil Limited,50.15B,92.66,-2.36%,52.48B
23,ABX,Barrick Gold Corporation,48.91B,28.32,1.40%,16.19B
24,IFC,Intact Financial Corporation,46.00B,259.26,0.54%,29.55B
25,SLF,Sun Life Financial Inc.,44.86B,78.2,0.62%,31.95B
26,NA,National Bank of Canada,43.62B,128.1,0.63%,10.61B
27,BCE,BCE Inc.,42.92B,46.91,-0.30%,24.57B
28,GWO,Great-West Lifeco Inc.,42.91B,46.05,0.59%,33.04B
29,CVE,Cenovus Energy Inc.,40.74B,21.95,-4.32%,55.99B
30,WPM,Wheaton Precious Metals Corp.,39.26B,86.53,-0.02%,1.55B
31,DOL,Dollarama Inc.,38.49B,137.05,0.21%,6.09B
32,FFH,Fairfax Financial Holdings Limited,37.08B,"1,679.43",0.01%,45.61B
33,TECK.B,Teck Resources Limited,35.43B,71.94,5.51%,15.57B
34,TECK.A,Teck Resources Limited,35.43B,71.75,5.04%,15.57B
35,GIB.A,CGI Inc.,35.31B,156.78,2.14%,14.52B
36,FNV,Franco-Nevada Corporation,33.67B,173.43,-0.90%,1.54B
37,T,TELUS Corporation,33.19B,22.47,0.99%,19.91B
38,PPL,Pembina Pipeline Corporation,32.17B,55.45,0.02%,9.48B
39,NTR,Nutrien Ltd.,31.50B,65.57,3.00%,35.36B
40,QSP.UN,Restaurant Brands International Limited Partnership,30.49B,94.2,-,10.23B
41,QSR,Restaurant Brands International Inc.,30.36B,95.45,1.55%,10.23B
42,FTS,Fortis Inc.,30.06B,61.13,0.71%,11.39B
43,WN,George Weston Limited,29.64B,225.69,0.29%,60.93B
44,RCI.B,Rogers Communications Inc.,29.53B,54,-0.48%,20.42B
45,WSP,WSP Global Inc.,29.35B,238.45,1.32%,14.84B
46,RCI.A,Rogers Communications Inc.,29.31B,59,1.72%,20.42B
47,H,Hydro One Limited,27.95B,46.86,0.51%,8.11B
48,CCO,Cameco Corporation,27.92B,64.75,0.92%,2.65B
49,POW,Power Corporation of Canada,27.64B,43.26,0.35%,34.63B
50,BAM,Brookfield Asset Management Ltd.,26.67B,63.45,-0.03%,-
51,IVN,Ivanhoe Mines Ltd.,25.95B,20.31,5.73%,-
52,GFL,GFL Environmental Inc.,21.37B,53.23,-2.24%,7.63B
53,BIP.UN,Brookfield Infrastructure Partners L.P.,21.11B,47.5,3.60%,27.07B
54,TOU,Tourmaline Oil Corp.,21.06B,59.04,-1.19%,4.80B
55,RBA,"RB Global, Inc.",20.37B,108.78,-1.78%,5.78B
56,MRU,Metro Inc.,18.94B,85.61,0.73%,21.35B
57,BEP.UN,Brookfield Renewable Partners L.P.,18.00B,37.23,1.47%,7.49B
58,TFII,TFI International Inc.,16.46B,192.62,-1.00%,10.97B
59,K,Kinross Gold Corporation,16.16B,13.21,0.46%,6.19B
60,BEPC,Brookfield Renewable Corporation,16.09B,43.29,0.65%,6.45B
61,MG,Magna International Inc.,15.62B,56.84,4.52%,58.95B
62,EMA,Emera Incorporated,15.57B,53.54,0.53%,7.35B
63,FM,First Quantum Minerals Ltd.,15.17B,19.25,4.96%,7.55B
64,CCL.A,CCL Industries Inc.,14.67B,83.38,2.07%,6.94B
65,CCL.B,CCL Industries Inc.,14.63B,82.26,0.66%,6.94B
66,ARX,ARC Resources Ltd.,13.39B,21.78,-3.03%,5.25B
67,OVV,Ovintiv Inc.,13.01B,49.86,-4.79%,14.09B
68,DAY,Dayforce Inc.,12.45B,81.18,1.48%,2.23B
69,STN,Stantec Inc.,12.42B,109.05,0.17%,5.42B
70,SAP,Saputo Inc.,12.26B,29.09,0.73%,17.74B
71,X,TMX Group Limited,12.06B,43.14,-0.64%,3.06B
72,DSG,The Descartes Systems Group Inc.,11.79B,141.35,2.47%,839.43M
73,OTEX,Open Text Corporation,11.73B,45.32,1.84%,7.90B
74,AGI,Alamos Gold Inc.,11.71B,27.53,-1.26%,1.53B
75,PHYS,Sprott Physical Gold Trust,11.63B,27.94,0.47%,-
76,EFN,Element Fleet Management Corp.,11.38B,28.67,1.67%,2.16B
77,FSV,FirstService Corporation,11.00B,244.23,-0.06%,6.37B
78,BNRE,Brookfield Reinsurance Ltd.,10.97B,63.93,-1.16%,12.67B
79,PAAS,Pan American Silver Corp.,10.94B,30.14,2.17%,3.52B
80,LUN,Lundin Mining Corporation,10.79B,14.5,4.39%,5.57B
81,TIH,Toromont Industries Ltd.,10.69B,131.25,0.56%,4.78B
82,WFG,West Fraser Timber Co. Ltd.,10.40B,129.39,1.05%,8.97B
83,IAG,iA Financial Corporation Inc.,10.33B,111.3,1.17%,8.43B
84,CIGI,Colliers International Group Inc.,10.24B,203.66,1.00%,6.07B
85,GIL,Gildan Activewear Inc.,10.09B,64,1.09%,4.39B
86,ALA,AltaGas Ltd.,9.96B,33.4,-0.18%,12.75B
87,EMP.A,Empire Company Limited,9.78B,40.98,1.24%,30.87B
88,CU,Canadian Utilities Limited,9.71B,36.01,0.76%,3.74B
89,KEY,Keyera Corp.,9.68B,42.16,-0.24%,7.00B
90,BBD.B,Bombardier Inc.,9.62B,99.7,2.42%,11.50B
91,BBD.A,Bombardier Inc.,9.62B,96.88,-0.26%,11.50B
92,IGM,IGM Financial Inc.,9.55B,40.99,1.44%,3.63B
93,ATRL,AtkinsRéalis Group Inc.,9.40B,53.67,0.77%,9.11B
