S.No,Name,URL,Exchange Code,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
1.,Reliance Industr,https://www.screener.in/company/RELIANCE/consolidated/,RELIANCE,2995.90,29.48,2026970.59,0.33,17445.00,-5.45,231784.00,11.67,9.61
2.,TCS,https://www.screener.in/company/TCS/consolidated/,TCS,4292.50,32.64,1553064.07,1.28,12105.00,8.72,62613.00,5.44,64.28
3.,HDFC Bank,https://www.screener.in/company/HDFCBANK/consolidated/,HDFCBANK,1783.45,19.96,1360530.58,1.09,17188.05,33.18,81546.20,59.37,7.67
4.,Bharti Airtel,https://www.screener.in/company/BHARTIARTL/consolidated/,BHARTIARTL,1771.10,88.90,1061771.63,0.45,4717.50,-8.78,38506.40,2.85,13.13
5.,ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/,ICICIBANK,1329.05,20.66,936406.74,0.75,12462.81,9.96,44581.65,20.15,7.60
6.,Infosys,https://www.screener.in/company/INFY/consolidated/,INFY,1900.25,29.60,789011.70,2.00,6374.00,7.12,39315.00,3.64,39.99
7.,St Bk of India,https://www.screener.in/company/SBIN/consolidated/,SBIN,801.85,9.82,715620.01,1.71,20094.36,4.25,118242.45,16.54,6.16
8.,Hind. Unilever,https://www.screener.in/company/HINDUNILVR/consolidated/,HINDUNILVR,2986.10,67.89,701611.45,1.41,2612.00,2.49,15707.00,1.36,27.24
9.,ITC,https://www.screener.in/company/ITC/consolidated/,ITC,522.75,31.97,653834.72,2.63,5176.99,-0.22,18457.33,7.53,37.47
10.,Life Insurance,https://www.screener.in/company/LICI/consolidated/,LICI,1028.05,15.57,650241.39,0.97,10527.00,9.27,212082.84,11.53,72.95
11.,Larsen & Toubro,https://www.screener.in/company/LT/consolidated/,LT,3762.15,38.92,517293.71,0.74,3444.68,11.74,55119.82,15.12,13.44
12.,HCL Technologies,https://www.screener.in/company/HCLTECH/consolidated/,HCLTECH,1783.85,29.47,484077.15,2.92,4259.00,20.56,28057.00,6.70,29.60
13.,Bajaj Finance,https://www.screener.in/company/BAJFINANCE/consolidated/,BAJFINANCE,7768.40,32.22,480861.10,0.46,3911.98,13.82,16098.67,28.81,11.93
14.,Sun Pharma.Inds.,https://www.screener.in/company/SUNPHARMA/consolidated/,SUNPHARMA,1898.40,43.20,455489.75,0.71,2860.51,25.05,12652.75,5.96,17.32
15.,NTPC,https://www.screener.in/company/NTPC/consolidated/,NTPC,434.60,19.68,421417.11,1.78,5506.07,12.33,48520.57,12.64,10.47
16.,Maruti Suzuki,https://www.screener.in/company/MARUTI/consolidated/,MARUTI,13383.80,28.62,420790.12,0.93,3759.70,47.85,35779.40,9.97,21.82
17.,M & M,https://www.screener.in/company/M&M/consolidated/,M&M,3181.10,35.82,395578.96,0.66,3545.78,-6.50,37217.72,9.81,13.58
18.,Axis Bank,https://www.screener.in/company/AXISBANK/consolidated/,AXISBANK,1277.10,14.78,395014.89,0.08,6467.13,5.67,31158.52,18.72,7.06
19.,Kotak Mah. Bank,https://www.screener.in/company/KOTAKBANK/consolidated/,KOTAKBANK,1902.30,20.29,378200.07,0.11,7448.16,10.35,15836.79,23.06,7.86
20.,O N G C,https://www.screener.in/company/ONGC/consolidated/,ONGC,295.20,8.15,371369.84,4.15,10235.64,-32.15,166576.75,1.68,18.43
